trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5329999999999999, 'e': 0.5117085777865424}",25,2,-37.22591235307519,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.5319999999999999, 'e': 0.5066169923655895}",20,0,-68.08768234329614,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
69,False,"{'a': 0.5309999999999999, 'e': 0.5015760690660555}",20,14,-2.3139022808349474,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.5299999999999999, 'e': 0.49658530379140947}",20,2,-15.718461711889853,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.5289999999999999, 'e': 0.4916441974609651}",25,0,-58.39673765274718,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.5279999999999999, 'e': 0.4867522559599717}",30,3,-99.00546910195787,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 2}",1
73,False,"{'a': 0.5269999999999999, 'e': 0.48190899009020244}",20,9,7.676609906795712,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5259999999999999, 'e': 0.4771139155210344}",25,7,27.558062771207485,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5249999999999999, 'e': 0.4723665527410147}",25,10,-38.26760509467455,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
76,False,"{'a': 0.5239999999999999, 'e': 0.46766642700990924}",20,5,-49.61661277292076,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 1}",1
77,False,"{'a': 0.5229999999999999, 'e': 0.46301306831122807}",20,0,-71.08622188474342,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.5219999999999999, 'e': 0.4584060113052235}",20,0,-29.30411374837699,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.5209999999999999, 'e': 0.45384479528235583}",20,6,-52.37069717648176,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
80,False,"{'a': 0.5199999999999999, 'e': 0.44932896411722156}",20,1,-110.9680859764057,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
81,False,"{'a': 0.5189999999999999, 'e': 0.4448580662229411}",25,0,-84.80638114140083,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
82,False,"{'a': 0.5179999999999999, 'e': 0.44043165450599925}",30,16,-26.438088196402703,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.5169999999999999, 'e': 0.43604928632153556}",35,0,-80.90442127537257,"{0: 28, 1: 2, 2: 3, 3: 0, 4: 2}",0
84,False,"{'a': 0.5159999999999999, 'e': 0.43171052342907973}",25,0,-66.5535216660907,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
85,False,"{'a': 0.5149999999999999, 'e': 0.4274149319487267}",20,12,-16.540105207314195,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
